name,cate,dist,dire
ak_0m_center_0002.mp3,ak,0m,center
ak_0m_center_0003.mp3,ak,0m,center
ak_0m_center_0004.mp3,ak,0m,center
ak_0m_center_0006.mp3,ak,0m,center
ak_0m_center_0007.mp3,ak,0m,center
ak_0m_center_0010.mp3,ak,0m,center
ak_0m_center_0011.mp3,ak,0m,center
ak_0m_center_0015.mp3,ak,0m,center
ak_0m_center_0016.mp3,ak,0m,center
m24_100m_back_0020.mp3,m24,100m,back
m24_100m_back_0021.mp3,m24,100m,back
m24_100m_back_0023.mp3,m24,100m,back
m24_100m_back_0024.mp3,m24,100m,back
m24_100m_back_0025.mp3,m24,100m,back
m24_100m_back_0026.mp3,m24,100m,back
m24_100m_back_0027.mp3,m24,100m,back
m24_100m_back_0028.mp3,m24,100m,back
m24_100m_back_0029.mp3,m24,100m,back
m24_100m_back_0032.mp3,m24,100m,back
m24_100m_back_0033.mp3,m24,100m,back
m24_100m_back_0034.mp3,m24,100m,back
m24_100m_back_0035.mp3,m24,100m,back
m24_100m_front_0036.mp3,m24,100m,front
m24_100m_front_0037.mp3,m24,100m,front
m24_100m_front_0038.mp3,m24,100m,front
m24_100m_front_0039.mp3,m24,100m,front
m24_100m_front_0040.mp3,m24,100m,front
m24_100m_front_0041.mp3,m24,100m,front
m24_100m_front_0042.mp3,m24,100m,front
m24_100m_front_0043.mp3,m24,100m,front
m24_100m_front_0044.mp3,m24,100m,front
m24_100m_front_0045.mp3,m24,100m,front
m24_100m_front_0046.mp3,m24,100m,front
m24_100m_front_0047.mp3,m24,100m,front
m24_100m_front_0048.mp3,m24,100m,front
m24_100m_left_0049.mp3,m24,100m,left
m24_100m_left_0050.mp3,m24,100m,left
m24_100m_left_0051.mp3,m24,100m,left
m24_100m_left_0052.mp3,m24,100m,left
m24_100m_left_0055.mp3,m24,100m,left
m24_100m_left_0056.mp3,m24,100m,left
m24_100m_left_0057.mp3,m24,100m,left
m24_100m_left_0058.mp3,m24,100m,left
m24_100m_left_0059.mp3,m24,100m,left
m24_100m_left_0060.mp3,m24,100m,left
m24_100m_left_0061.mp3,m24,100m,left
m24_100m_left_0062.mp3,m24,100m,left
m24_100m_left_0063.mp3,m24,100m,left
m24_100m_left_0064.mp3,m24,100m,left
m24_100m_right_0066.mp3,m24,100m,right
m24_100m_right_0067.mp3,m24,100m,right
m24_100m_right_0068.mp3,m24,100m,right
m24_100m_right_0069.mp3,m24,100m,right
m24_100m_right_0070.mp3,m24,100m,right
m24_100m_right_0071.mp3,m24,100m,right
m24_100m_right_0072.mp3,m24,100m,right
m24_100m_right_0073.mp3,m24,100m,right
m24_100m_right_0074.mp3,m24,100m,right
m24_100m_right_0075.mp3,m24,100m,right
m24_200m_back_0077.mp3,m24,200m,back
m24_200m_back_0078.mp3,m24,200m,back
m24_200m_back_0079.mp3,m24,200m,back
m24_200m_back_0080.mp3,m24,200m,back
m24_200m_back_0081.mp3,m24,200m,back
m24_200m_back_0082.mp3,m24,200m,back
m24_200m_back_0083.mp3,m24,200m,back
m24_200m_back_0084.mp3,m24,200m,back
m24_200m_back_0085.mp3,m24,200m,back
